id,name,genre,rating
172,My Neighbor Totoro,Animation,8.1
173,Catch Me If You Can,Biography,8.1
174,Million Dollar Baby,Drama,8.1
175,Children of Heaven,Drama,8.2
176,Blade Runner,Action,8.1
177,The Gold Rush,Adventure,8.1
178,Before Sunrise,Drama,8.1
179,12 Years a Slave,Biography,8.1
180,Klaus,Animation,8.2
181,Harry Potter and the Deathly Hallows: Part 2,Adventure,8.1
182,On the Waterfront,Crime,8.1
183,Ben-Hur,Adventure,8.1
184,Gone Girl,Drama,8.1
185,The Grand Budapest Hotel,Adventure,8.1
186,Wild Strawberries,Drama,8.1
187,The General,Action,8.1
188,The Third Man,Film-Noir,8.1
189,In the Name of the Father,Biography,8.1
190,The Deer Hunter,Drama,8.1
191,Barry Lyndon,Adventure,8.1
192,Hacksaw Ridge,Biography,8.1
193,The Wages of Fear,Adventure,8.2
194,Memories of Murder,Crime,8.1
195,Sherlock Jr.,Action,8.2
196,Wild Tales,Comedy,8.1
197,Mr. Smith Goes to Washington,Comedy,8.1
198,Mad Max: Fury Road,Action,8.1
199,The Seventh Seal,Drama,8.1
200,Mary and Max,Animation,8.1
201,How to Train Your Dragon,Animation,8.1
202,Room,Drama,8.1
203,"Monsters, Inc.",Animation,8.1
204,Jaws,Adventure,8.1
205,Dead Poets Society,Comedy,8.1
206,The Big Lebowski,Comedy,8.1
207,Tokyo Story,Drama,8.2
208,The Passion of Joan of Arc,Biography,8.2
209,Hotel Rwanda,Biography,8.1
210,Ford v Ferrari,Action,8.1
211,Rocky,Drama,8.1
212,Platoon,Drama,8.1
213,Ratatouille,Animation,8.1
214,Spotlight,Biography,8.1
215,The Terminator,Action,8.1
216,Logan,Action,8.1
217,Stand by Me,Adventure,8.1
218,Rush,Action,8.1
219,Network,Drama,8.1
220,Into the Wild,Adventure,8.1
221,Before Sunset,Drama,8.1
222,The Wizard of Oz,Adventure,8.1
223,Pather Panchali,Drama,8.3
224,Groundhog Day,Comedy,8.1
225,The Best Years of Our Lives,Drama,8.1
226,The Exorcist,Horror,8.1
227,The Incredibles,Animation,8
228,To Be or Not to Be,Comedy,8.2
229,La haine,Crime,8.1
230,The Battle of Algiers,Drama,8.1
231,Pirates of the Caribbean: The Curse of the Black Pearl,Action,8.1
232,Hachi: A Dog's Tale,Biography,8.1
233,The Grapes of Wrath,Drama,8.1
234,Jai Bhim,Crime,8.8
235,My Father and My Son,Drama,8.2
236,Amores Perros,Drama,8.1
237,Rebecca,Drama,8.1
238,Cool Hand Luke,Crime,8.1
239,The Handmaiden,Drama,8.1
240,The 400 Blows,Crime,8.1
241,The Sound of Music,Biography,8.1
242,It Happened One Night,Comedy,8.1
243,Persona,Drama,8.1
244,Life of Brian,Comedy,8
245,The Iron Giant,Animation,8.1
246,The Help,Drama,8.1
247,Dersu Uzala,Adventure,8.2
248,Aladdin,Animation,8
249,Gandhi,Biography,8
250,Dances with Wolves,Adventure,8
